NomeEvento,IDEvento,CodPais,TimeZone,DataAbertura,TotalMercados,DataLocal
Kryvbas Krivyi Rih v Polissya Zhytomyr,33819250,UA,GMT,2024-11-30 13:30:00,22,2024-11-30 10:30:00
CD Pioneros de Cancun v Chilpancingo,33830002,MX,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
Cuiaba v Bahia,33814645,BR,GMT,2024-11-30 22:30:00,43,2024-11-30 19:30:00
Rio Ave v Moreirense,33774203,PT,GMT,2024-11-30 15:30:00,33,2024-11-30 12:30:00
CD Dragon v AD Isidro Metapan,33826428,SV,GMT,2024-11-30 21:15:00,24,2024-11-30 18:15:00
Sporting Lisbon v Santa Clara,33774202,PT,GMT,2024-11-30 20:30:00,33,2024-11-30 17:30:00
Daily Goals,33827966,GB,GMT,2024-11-30 15:00:00,1,2024-11-30 12:00:00
Cottbus v Unterhaching,33816190,DE,GMT,2024-11-30 13:00:00,18,2024-11-30 10:00:00
Livyi Bereh v Obolon-Brovar Kiev,33819259,UA,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Alianza FC (SLV) v Platense Zacatecoluca,33826427,SV,GMT,2024-11-30 21:15:00,24,2024-11-30 18:15:00
FC Zurich v Grasshoppers Zurich,33813635,CH,GMT,2024-11-30 19:30:00,33,2024-11-30 16:30:00
CD Luis Angel Firpo v CD Fas,33826436,SV,GMT,2024-11-30 21:15:00,24,2024-11-30 18:15:00
CD Cacahuatique v CD Municipal Limeno,33826438,SV,GMT,2024-11-30 21:15:00,24,2024-11-30 18:15:00
CD Nacional Funchal v Boavista,33774208,PT,GMT,2024-11-30 18:00:00,33,2024-11-30 15:00:00
Club CDM v Artesanos Metepec F.C.,33830017,MX,GMT,2024-11-30 21:30:00,24,2024-11-30 18:30:00
Glenavon v Coleraine,33816203,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Wolves U21 v Leicester U21,33827466,GB,GMT,2024-11-30 13:00:00,16,2024-11-30 10:00:00
Once Municipal v CD Aguila,33826443,SV,GMT,2024-11-30 21:15:00,24,2024-11-30 18:15:00
Maccabi Petach Tikva v Maccabi Haifa,33828500,IL,GMT,2024-11-30 13:00:00,19,2024-11-30 10:00:00
FC Wil v Etoile Carouge,33813650,CH,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Thun v Aarau,33813649,CH,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Cibalia Vinkovci v NK Sesvete,33818769,HR,GMT,2024-11-30 12:30:00,19,2024-11-30 09:30:00
KCB v Bidco United,33830034,KE,GMT,2024-11-30 12:00:00,24,2024-11-30 09:00:00
Ballymena v Carrick Rangers,33816216,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
SK Sturm Graz II v Floridsdorfer AC,33812120,AT,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
Club Brugge v FCV Dender,33811615,BE,GMT,2024-11-30 17:15:00,33,2024-11-30 14:15:00
NK Croatia Zmijavci v BSK Bijelo Brdo,33818777,HR,GMT,2024-11-30 12:30:00,18,2024-11-30 09:30:00
Diosgyori v Debreceni VSC,33816220,HU,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Zira v FK Sumqayit,33818789,AZ,GMT,2024-11-30 13:00:00,16,2024-11-30 10:00:00
Shabab Al Ordon v Ma'an,33826981,JO,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Koper v NK Maribor,33816225,SI,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Rosario Central v Racing Club,33816224,AR,GMT,2024-11-30 22:30:00,33,2024-11-30 19:30:00
Levadiakos v Panaitolikos,33772208,GR,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
Siroki Brijeg v FK Igman Konjic,33824447,BA,GMT,2024-11-30 19:45:00,24,2024-11-30 16:45:00
Oxford Utd v Millwall,33813183,GB,GMT,2024-11-30 12:30:00,26,2024-11-30 09:30:00
Al Ahli Amman v Al Ramtha,33827001,JO,GMT,2024-11-30 16:45:00,24,2024-11-30 13:45:00
Watford v QPR,33813181,GB,GMT,2024-11-30 12:30:00,38,2024-11-30 09:30:00
Swansea v Portsmouth,33813180,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Coventry v Cardiff,33813187,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
UD Ourense v Ponferradina,33821894,ES,GMT,2024-11-30 18:30:00,24,2024-11-30 15:30:00
Norwich v Luton,33813184,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Union de Salamanca v Barakaldo,33821888,ES,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
Nk Posusje v Gosk Gabela,33824449,BA,GMT,2024-11-30 12:30:00,17,2024-11-30 09:30:00
Sudtirol v US Cremonese,33813702,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Bristol City v Plymouth,33813190,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Zeljeznicar v Sloboda Tuzla,33824450,BA,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
NFC Volos v Lamia,33772228,GR,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Miramar Misiones v Defensor Sporting,33824972,UY,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
ZED FC v Haras El Hodood,33827021,EG,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Amorebieta v Sestao River,33821901,ES,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Middlesbrough v Hull,33813194,GB,GMT,2024-11-30 12:30:00,22,2024-11-30 09:30:00
Rampla Juniors v Wanderers (Uru),33824974,UY,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Blackburn v Leeds,33813199,GB,GMT,2024-11-30 13:30:00,30,2024-11-30 10:30:00
Cittadella v Juve Stabia,33813710,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Stoke v Burnley,33813196,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Athletic Bilbao B v Sociedad B,33821899,ES,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
Preston v West Brom,33813201,GB,GMT,2024-11-30 15:00:00,33,2024-11-30 12:00:00
Tuzos de la UAZ v Mineros de Fresnillo FC,33830103,MX,GMT,2024-11-30 23:00:00,24,2024-11-30 20:00:00
Cerro v Liverpool Montevideo,33824976,UY,GMT,2024-11-30 12:45:00,19,2024-11-30 09:45:00
Slaven Belupo v Osijek,33813719,HR,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Mahasarakham Sam Bai Tao FC v Police Tero,33827539,TH,GMT,2024-11-30 12:00:00,15,2024-11-30 09:00:00
SD Compostela v CD Laredo,33822419,ES,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Brescia v SSD Bari,33813722,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Sampdoria v Catanzaro,33814239,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Nairobi City Stars v Bandari FC (Kenya),33827545,KE,GMT,2024-11-30 13:00:00,24,2024-11-30 10:00:00
AEK Athens v Aris,33772254,GR,GMT,2024-11-30 18:30:00,24,2024-11-30 15:30:00
Kaizer Chiefs v Bloemfontein Celtic,33815267,ZA,GMT,2024-11-30 15:45:00,24,2024-11-30 12:45:00
Torrent CF v CD Ibiza Islas Pitiusas,33820389,ES,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Chippa Utd v Magesi FC,33815266,ZA,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Richards Bay FC v Amazulu,33815271,ZA,GMT,2024-11-30 13:30:00,24,2024-11-30 10:30:00
Atletico MG v Botafogo FR,33741028,,GMT,2024-11-30 20:00:00,44,2024-11-30 17:00:00
CODM Meknes v SCCM Chabab Mohamedia,33827042,MA,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Livingston v Brora Rangers,33819885,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Gubbio v Pescara,33822957,IT,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Atletico Sanluqueno CF v Algeciras,33821934,ES,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Carlisle v Crewe,33811176,GB,GMT,2024-11-30 12:30:00,18,2024-11-30 09:30:00
Mamelodi Sundowns v Sekhukhune United,33815272,ZA,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Catania v Cavese 1919,33822959,IT,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Banfield v Lanus,33815276,AR,GMT,2024-11-30 22:30:00,24,2024-11-30 19:30:00
Yeclano Deportivo v Alcoyano,33821931,ES,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Real Madrid Castilla v Merida AD,33821940,ES,GMT,2024-11-30 20:30:00,24,2024-11-30 17:30:00
US Latina Calcio v AZ Picerno ASD,33822965,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Foggia v Crotone,33822966,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Dinan Lehon v Guingamp,33827568,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
NK Primorje v Mura,33814263,SI,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Ibiza Eivissa v Real Murcia,33821938,ES,GMT,2024-11-30 14:30:00,24,2024-11-30 11:30:00
NK Dubrava Zagreb v HNK Orijent 1919,33829619,HR,GMT,2024-11-30 12:30:00,17,2024-11-30 09:30:00
Jeunesse d'Esch v Fola Esch,33827059,LU,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Tenerife v Elche,33814777,ES,GMT,2024-11-30 20:00:00,33,2024-11-30 17:00:00
CA Lugano v CSD Central Ballester,33829631,AR,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Al-Shabab (KSA) v Al-Hilal,33812222,SA,GMT,2024-11-30 17:00:00,43,2024-11-30 14:00:00
Charleroi v Standard,33812221,BE,GMT,2024-11-30 19:45:00,33,2024-11-30 16:45:00
Al-Raed (KSA) v Al-Taawoun Buraidah,33812220,SA,GMT,2024-11-30 13:20:00,33,2024-11-30 10:20:00
Real Avila CF v Numancia,33822470,ES,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
CD Estepona v Almeria II,33820423,ES,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
CA Puerto Nuevo v Leandro N Alem,33829635,AR,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Aguacateros C.D.U. Uruapan v Aguacateros de Periba,33829644,MX,GMT,2024-11-30 21:30:00,24,2024-11-30 18:30:00
Club Sporting Canamy v Zacatepec F.C,33829642,MX,GMT,2024-11-30 21:30:00,24,2024-11-30 18:30:00
Club Lujan v Real Pilar FC,33829643,AR,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Le Mans v Locmine,33827605,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Deportivo La Coruna II v U.D Llanera,33822487,ES,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Bonnyrigg v East Fife,33810197,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Pontevedra CF v Salmantino,33822483,ES,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
Perak v Kelantan United,33827612,MY,GMT,2024-11-30 12:30:00,16,2024-11-30 09:30:00
Orihuela CF v Granada B,33820446,ES,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
Fleetwood Town v Colchester,33810716,GB,GMT,2024-11-30 12:30:00,19,2024-11-30 09:30:00
CE Europa v Olot,33821478,ES,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Nottm Forest v Ipswich,33769766,GB,GMT,2024-11-30 15:00:00,64,2024-11-30 12:00:00
Brentford v Leicester,33769768,GB,GMT,2024-11-30 15:00:00,64,2024-11-30 12:00:00
Crystal Palace v Newcastle,33769776,GB,GMT,2024-11-30 15:00:00,64,2024-11-30 12:00:00
Dinamo Tirana v KS Teuta Durres,33826610,AL,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Egnatia Rrogozhine v AF Elbasani,33826620,AL,GMT,2024-11-30 12:30:00,16,2024-11-30 09:30:00
Augsburg v Bochum,33771837,DE,GMT,2024-11-30 14:30:00,43,2024-11-30 11:30:00
Vision FC v Rayon Sports FC,33829700,RW,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Banik Ostrava v MFK Karvina,33813826,CZ,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Benevento v Audace Cerignola,33823046,IT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Sutton Utd v AFC Fylde,33813825,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Hapoel Eran Hadera v Bnei Sakhnin,33828672,IL,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Union Berlin v Leverkusen,33771847,DE,GMT,2024-11-30 14:30:00,43,2024-11-30 11:30:00
Ebbsfleet Utd v Boston Utd,33813831,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Al-Ettifaq v Al-Ittihad,33814347,SA,GMT,2024-11-30 14:25:00,43,2024-11-30 11:25:00
Gyori v Kecskemeti,33814346,HU,GMT,2024-11-30 13:30:00,22,2024-11-30 10:30:00
York City v Maidenhead,33813834,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Chorley v Curzon Ashton,33821518,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
RB Leipzig v Wolfsburg,33771849,DE,GMT,2024-11-30 14:30:00,43,2024-11-30 11:30:00
Hartlepool v Barnet,33813833,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Oxford City v Farsley Celtic,33821519,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Braintree v Gateshead,33813839,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Southport v Marine FC,33821513,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Rijeka v HNK Gorica,33814348,HR,GMT,2024-11-30 16:30:00,24,2024-11-30 13:30:00
Cerro Largo FC v Progreso,33826635,UY,GMT,2024-11-30 20:00:00,24,2024-11-30 17:00:00
Dortmund v Bayern Munich,33771859,DE,GMT,2024-11-30 17:30:00,43,2024-11-30 14:30:00
Alverca v Vizela,33813331,PT,GMT,2024-11-30 18:00:00,24,2024-11-30 15:00:00
Warrington Town v Chester,33821524,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Hereford FC v Rushall Olympic,33821525,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Spennymoor Town v Buxton,33821526,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
FC Halifax Town v Southend,33813840,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Radcliffe Borough v Darlington,33821520,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Kidderminster v Leamington,33821521,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Needham Market v Scarborough Athletic,33821522,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Werder Bremen v Stuttgart,33771861,DE,GMT,2024-11-30 14:30:00,43,2024-11-30 11:30:00
South Shields v Peterborough Sports FC,33821523,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Scunthorpe v Alfreton Town,33821532,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Freiburg v Mgladbach,33771864,DE,GMT,2024-11-30 14:30:00,43,2024-11-30 11:30:00
Woking v Yeovil,33813848,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
KF Laci v KS Skenderbeu Korce,33826655,AL,GMT,2024-11-30 12:30:00,18,2024-11-30 09:30:00
FC Ashdod v Ironi Tiberias,33828697,IL,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Bellinzona v Stade Nyonnais,33811292,CH,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Linlithgow Rose v Raith,33821540,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Hapoel Beer Sheva v Maccabi Netanya,33828710,IL,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
Laval v Concarneau,33827687,FR,GMT,2024-11-30 13:00:00,16,2024-11-30 10:00:00
Fraserburgh v Annan,33821537,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Leiria v Feirense,33811300,PT,GMT,2024-11-30 14:00:00,24,2024-11-30 11:00:00
Tours v Cesson,33827689,FR,GMT,2024-11-30 17:00:00,24,2024-11-30 14:00:00
Portimonense v Chaves,33811310,PT,GMT,2024-11-30 15:30:00,24,2024-11-30 12:30:00
Aubervilliers v Dunkerque,33827690,FR,GMT,2024-11-30 13:30:00,24,2024-11-30 10:30:00
West Ham v Arsenal,33769840,GB,GMT,2024-11-30 17:30:00,64,2024-11-30 14:30:00
Ginglin Cesson v Rouen,33827703,FR,GMT,2024-11-30 17:30:00,24,2024-11-30 14:30:00
AD Guanacasteca v Ld Alajuelense,33817975,CR,GMT,2024-11-30 23:00:00,24,2024-11-30 20:00:00
FC Mondercange v F91 Dudelange,33827185,LU,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Linfield v Portadown,33811316,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Bobigny AC v Red Star,33827710,FR,GMT,2024-11-30 13:30:00,24,2024-11-30 10:30:00
SV Sandhausen v Dynamo Dresden,33811320,DE,GMT,2024-11-30 13:00:00,15,2024-11-30 10:00:00
Colmar v Haguenau,33827711,FR,GMT,2024-11-30 16:00:00,24,2024-11-30 13:00:00
Saint Philbert Gd Lieu v Pau,33827707,FR,GMT,2024-11-30 13:30:00,22,2024-11-30 10:30:00
Rennes v St Etienne,33773955,FR,GMT,2024-11-30 16:00:00,43,2024-11-30 13:00:00
SD Eibar B v Utebo CF,33822598,ES,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Chesham Utd v Eastbourne,33822081,GB,GMT,2024-11-30 15:00:00,24,2024-11-30 12:00:00
Moghreb Tetouan v FUS Rabat,33827201,MA,GMT,2024-11-30 19:00:00,24,2024-11-30 16:00:00
